ZONE,SEXE,TRAGE,POP_2022
Alpes-de-Haute-Provence,1,[10;15[,5060
Alpes-de-Haute-Provence,1,[15;20[,4820
Alpes-de-Haute-Provence,1,[20;25[,3440
Alpes-de-Haute-Provence,1,[25;30[,3160
Alpes-de-Haute-Provence,1,[30;35[,3790
Alpes-de-Haute-Provence,1,[35;40[,4360
Alpes-de-Haute-Provence,1,[40;45[,4550
Alpes-de-Haute-Provence,1,[45;50[,4800
Alpes-de-Haute-Provence,1,[50;55[,5800
Alpes-de-Haute-Provence,1,[55;60[,5980
Alpes-de-Haute-Provence,1,[60;65[,5860
Alpes-de-Haute-Provence,1,[65;70[,6010
Alpes-de-Haute-Provence,1,[70;75[,5470
Alpes-de-Haute-Provence,1,[75;80[,3880
Alpes-de-Haute-Provence,1,[80;85[,2650
Alpes-de-Haute-Provence,1,[85;90[,1710
Alpes-de-Haute-Provence,1,[90;95[,730
Alpes-de-Haute-Provence,1,[95;99+],180
Alpes-de-Haute-Provence,2,[0;5[,3460
Alpes-de-Haute-Provence,2,[5;10[,4080
Alpes-de-Haute-Provence,2,[10;15[,4580
Alpes-de-Haute-Provence,2,[15;20[,4270
Alpes-de-Haute-Provence,2,[20;25[,2880
Alpes-de-Haute-Provence,2,[25;30[,2940
Alpes-de-Haute-Provence,2,[30;35[,4020
Alpes-de-Haute-Provence,2,[35;40[,4670
Alpes-de-Haute-Provence,2,[40;45[,4930
Alpes-de-Haute-Provence,2,[45;50[,4950
Alpes-de-Haute-Provence,2,[50;55[,5830
Alpes-de-Haute-Provence,2,[55;60[,6430
Alpes-de-Haute-Provence,2,[60;65[,6370
Alpes-de-Haute-Provence,2,[65;70[,6140
Alpes-de-Haute-Provence,2,[70;75[,6200
Alpes-de-Haute-Provence,2,[75;80[,4550
Alpes-de-Haute-Provence,2,[80;85[,3490
Alpes-de-Haute-Provence,2,[85;90[,2660
Alpes-de-Haute-Provence,2,[90;95[,1480
Alpes-de-Haute-Provence,2,[95;99+],690
Ardennes,1,[0;5[,6770
Ardennes,1,[5;10[,7460
Ardennes,1,[10;15[,8500
Ardennes,1,[15;20[,8440
Ardennes,1,[20;25[,6520
Ardennes,1,[25;30[,6380
Ardennes,1,[30;35[,7360
Ardennes,1,[35;40[,7710
Ardennes,1,[40;45[,7560
Ardennes,1,[45;50[,8190
Ardennes,1,[50;55[,9020
Ardennes,1,[55;60[,9420
Ardennes,1,[60;65[,9120
Ardennes,1,[65;70[,8320
Ardennes,1,[70;75[,7640
Ardennes,1,[75;80[,4660
Ardennes,1,[80;85[,3020
Ardennes,1,[85;90[,2080
Ardennes,1,[90;95[,800
Ardennes,1,[95;99+],180
Ardennes,2,[0;5[,6420
Ardennes,2,[5;10[,7360
Ardennes,2,[10;15[,8220
Ardennes,2,[15;20[,7610
Ardennes,2,[20;25[,5470
Ardennes,2,[25;30[,5840
Ardennes,2,[30;35[,7300
Ardennes,2,[35;40[,7960
Ardennes,2,[40;45[,7810
Ardennes,2,[45;50[,8700
Ardennes,2,[50;55[,8800
Ardennes,2,[55;60[,9420
Ardennes,2,[60;65[,9400
Ardennes,2,[65;70[,9240
Ardennes,2,[70;75[,8680
Ardennes,2,[75;80[,5540
Ardennes,2,[80;85[,4490
Ardennes,2,[85;90[,3840
Ardennes,2,[90;95[,2120
Ardennes,2,[95;99+],950
Ardèche,1,[0;5[,7530
Ardèche,1,[5;10[,9120
Ardèche,1,[10;15[,10230
Ardèche,1,[15;20[,9810
Ardèche,1,[20;25[,6430
Ardèche,1,[25;30[,6480
Ardèche,1,[30;35[,8120
Ardèche,1,[35;40[,9150
Ardèche,1,[40;45[,9260
Ardèche,1,[45;50[,10700
Ardèche,1,[50;55[,11400
Ardèche,1,[55;60[,12010
Ardèche,1,[60;65[,11860
Ardèche,1,[65;70[,11290
Ardèche,1,[70;75[,11080
Ardèche,1,[75;80[,7260
Ardèche,1,[80;85[,4740
Ardèche,1,[85;90[,3060
Ardèche,1,[90;95[,1190
Ardèche,1,[95;99+],300
Ardèche,2,[0;5[,7170
Ardèche,2,[5;10[,8520
Ardèche,2,[10;15[,9630
Ardèche,2,[15;20[,8890
Ardèche,2,[20;25[,5860
Ardèche,2,[25;30[,6080
Ardèche,2,[30;35[,8320
Ardèche,2,[35;40[,9270
Ardèche,2,[40;45[,9760
Ardèche,2,[45;50[,10180
Ardèche,2,[50;55[,11720
Ardèche,2,[55;60[,12180
Ardèche,2,[60;65[,12130
Ardèche,2,[65;70[,12240
Ardèche,2,[70;75[,11750
Ardèche,2,[75;80[,8600
Ardèche,2,[80;85[,6230
Ardèche,2,[85;90[,5040
Ardèche,2,[90;95[,3100
Ardèche,2,[95;99+],1230
Ariège,1,[0;5[,3160
Ariège,1,[5;10[,3950
Ariège,1,[10;15[,4590
Ariège,1,[15;20[,4250
Ariège,1,[20;25[,3030
Ariège,1,[25;30[,3220
Ariège,1,[30;35[,3680
Ariège,1,[35;40[,3910
Ariège,1,[40;45[,4400
Ariège,1,[45;50[,4860
Ariège,1,[50;55[,5010
Ariège,1,[55;60[,5520
Ariège,1,[60;65[,5740
Ariège,1,[65;70[,5600
Ariège,1,[70;75[,5310
Ariège,1,[75;80[,3420
Ariège,1,[80;85[,2240
Ariège,1,[85;90[,1720
Ariège,1,[90;95[,800
Ariège,1,[95;99+],210
Ariège,2,[0;5[,2990
Ariège,2,[5;10[,3860
Ariège,2,[10;15[,4320
Ariège,2,[15;20[,3860
Ariège,2,[20;25[,2520
Ariège,2,[25;30[,2760
Ariège,2,[30;35[,3780
Ariège,2,[35;40[,4170
Ariège,2,[40;45[,4700
Ariège,2,[45;50[,4970
Ariège,2,[50;55[,5250
Ariège,2,[55;60[,5740
Ariège,2,[60;65[,5930
Ariège,2,[65;70[,5800
Ariège,2,[70;75[,5620
Ariège,2,[75;80[,3960
Ariège,2,[80;85[,3020
Ariège,2,[85;90[,2710
Ariège,2,[90;95[,1720
Ariège,2,[95;99+],760
Aube,1,[0;5[,7850
Aube,1,[5;10[,9180
Aube,1,[10;15[,10490
Aube,1,[15;20[,10450
Aube,1,[20;25[,10170
Aube,1,[25;30[,8180
